                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.60964,                 1.0583,                 1.1147,                 1.0507,                 0.6436,                0.65373,                0.67987,                0.60502,                0.63787,                0.65035,                0.67541,                0.59337,                0.58718,                 1.1558,                 1.1677,                 1.0436,               0.005149,               0.005149,               0.005149
                     52,                 0.6071,                 1.0507,                 1.1019,                 1.0432,                0.65205,                0.65601,                0.68301,                0.60744,                0.64576,                0.64952,                 0.6762,                0.59372,                0.57555,                 1.1585,                 1.1623,                 1.0308,                0.00505,                0.00505,                0.00505
                     53,                0.60271,                 1.0523,                 1.1047,                 1.0404,                0.66215,                0.67548,                0.68339,                0.61026,                0.66438,                 0.6647,                0.68007,                0.59757,                 0.5712,                 1.1584,                 1.1497,                 1.0303,               0.004951,               0.004951,               0.004951
                     54,                0.60178,                 1.0586,                 1.0842,                 1.0401,                0.65461,                0.66664,                 0.6905,                0.61751,                 0.6421,                0.67563,                0.68561,                0.60433,                0.57779,                 1.1468,                 1.1501,                 1.0323,               0.004852,               0.004852,               0.004852
                     55,                0.59755,                 1.0308,                 1.0706,                 1.0383,                 0.6965,                0.62999,                 0.6885,                0.62187,                0.69466,                0.62838,                0.68703,                 0.6076,                0.57506,                 1.1529,                 1.1517,                 1.0343,               0.004753,               0.004753,               0.004753
                     56,                0.59654,                 1.0315,                 1.0678,                 1.0418,                 0.6668,                0.65821,                0.69559,                0.62519,                0.66373,                0.65558,                0.69222,                0.61297,                0.57001,                 1.1478,                 1.1399,                 1.0306,               0.004654,               0.004654,               0.004654
                     57,                  0.601,                 1.0399,                 1.0673,                 1.0437,                 0.6794,                0.65038,                0.68685,                0.61771,                0.67528,                0.64924,                0.68348,                0.60436,                0.56786,                 1.1382,                 1.1556,                 1.0295,               0.004555,               0.004555,               0.004555
                     58,                0.58819,                 1.0226,                  1.039,                 1.0331,                 0.7096,                0.63246,                0.69043,                0.62116,                0.70586,                0.62962,                0.68712,                0.60674,                0.57015,                 1.1491,                 1.1525,                 1.0283,               0.004456,               0.004456,               0.004456
                     59,                0.59573,                 1.0328,                 1.0517,                 1.0363,                0.68118,                0.65754,                 0.6889,                0.62167,                0.67979,                0.65552,                0.68776,                0.60645,                0.57373,                 1.1318,                 1.1501,                 1.0306,               0.004357,               0.004357,               0.004357
                     60,                0.58779,                 1.0173,                 1.0329,                  1.033,                0.68311,                0.66098,                0.68495,                0.61338,                0.68459,                0.66105,                0.68404,                0.60247,                0.57454,                 1.1578,                 1.1466,                 1.0453,               0.004258,               0.004258,               0.004258
